,input,output
25,(((r→r)∧s)t)⊢(t∨q),((t→t)∧t)s((∨∨)))
26,(((¬r)∧s)(q→s))⊢(((¬r)∧s)∨p),((¬r)∨q)(t∧s)(((((¬∨))(()
27,((p∨(¬r))(q∨(¬q)))⊢((p∨(¬r))→(q∨(¬q))),(s∧(¬q))(s∨(¬s))((s∨(¬q))→((¬(¬s)))
28,((s∨s)(s∧t))⊢t,(s∨s)(s∧s)s
29,((p∨s)s)⊢((p∨s)∧s),(p∨p)s((t∨p)∧p)
30,(((s∧q)∧p)q)⊢(r∨(q∨t)),((s∧p)∧p)s(p∨p)(q∨(q∨q))
31,((r∧q)(q→(p→p)))⊢(p∨q),(s∧p)(s∧(r→p))s(s∨s)
32,(((p∧r)∧q)p)⊢(q∨r),((s∧p)∧p)p((∨∨)))
33,((t→r)((¬t)∨q))⊢(r∨((¬t)∨q)),(s→q)((¬r)→s)((∨(()r))())(()))∨))
34,((t∨s)r)⊢((t∨s)→r),(p∨p)s((t∨p)→p)
35,(q(q∧(s∨p)))⊢(s∨(q∨p)),p(r∧(p∨s))(s∨p)(s∨(s∨s))
36,((q∨r)(p→(s∨s)))⊢(t∨(q∨r)),(s∨p)(s→(r∨p))((∨(r∨∨))(())
37,(q(¬r))⊢(q∨q),s(¬s)(s∨(¬))
38,(((¬t)∨p)s)⊢(s∧(s∨s)),((¬r)∨q)s(s∨q)(q∧(t∨t))
39,(t(t→(r∧q)))⊢(t∨t),q(r→(q∧p))(r∨()∨)
40,(t(q∧s))⊢((q∧s)∨t),p(s∧t)((∨()∧∨))((∧)∨)
41,((¬q)(¬s))⊢(s∨(¬q)),(¬s)(¬p)((¬(¬∨))(∨(¬))
42,((q→s)q)⊢(r∨(q→s)),(q→s)p((∨→))∨))(∨(→))
43,(s(s∧(q→p)))⊢(s∨s),q(r∧(p→p))((∨∨))
44,((t→r)s)⊢((t→r)∧(r∨(t→r))),(t→s)p(p∨(p→p))((t→s)∧(t∨(t→s)))
45,(((s∧s)∧r)s)⊢s,((s∧p)∧p)p(q∧p)p
46,(((¬r)→t)p)⊢(s∨((¬r)→t)),((¬r)∨q)s((∨¬()∨))(¬)(∨((¬)∨))
47,(q(s∨r))⊢((s∨r)∧((s∨r)∨q)),p(t∨s)((p∨s)∨s)((t∨s)∧((p∨p)∨s))
48,((p∧p)(s∧(t∨s)))⊢((s∧(t∨s))→s),(s∧p)(s∧(r∨s))s((t∧(r∧p))→q)
49,(r(t∧(p∨s)))⊢(r∨r),p(r∧(p∨s))((∨∨))
50,((p→(r∨s))r)⊢((p→(r∨s))∨t),(t→(p∨s))s((∨→((∨s))∨∨)((∨→(∨))∨)
51,(r(r∨p))⊢(t∨(r∨p)),q(s∨r)(t∨()(t∨((∨∨))
52,(t((s→q)∨r))⊢(t→(t∨s)),p((p→t)∨s)(s∨t)(t→(t∨q))
53,((q∧(q∨p))(r∨(t→s)))⊢(s∨q),(r∧(p∧q))(q∧(q∨s))s(s∨s)
54,(s(p→p))⊢((p→p)∨q),t(s→r)(t∨()→∨))((∨→))∨)
55,(p(p∧(¬t)))⊢(¬t),q(s∧(¬q))(¬q)
56,((s∨(r→r))s)⊢(s→(p∨s)),(t∨(p→q))s(s∨s)(t→(q∨p))
57,((s∨(r→r))s)⊢((s∨(r→r))→((s∨(r→r))∨r)),(t∨(p∧s))s((s∨(r→s))∨s)((s→(r∧p))∧((t∨(t∨p))∨s))
58,((r∨p)(p∨s))⊢((p∨s)∨p),(s∨p)(p∨p)((∨∨p)∨))((r∨p)∨∨)
59,((p→q)(s→t))⊢(t∨(p→q)),(q→s)(p→p)((∨→s→∨))(p∨(t→p))
60,((p∧s)(¬t))⊢((p∧s)→(¬t)),(s∧q)(¬p)((s∧q)→(¬p))
61,(t((t→p)∧r))⊢(((t→p)∧r)→(t→p)),q((s→t)∧q)(t→r)(((s→t)∧s)→(p→t))
62,((¬q)(p∧q))⊢(((p∧q)∨t)∨q),(¬p)(p∧p)((p∧p)∨p)(((p∧p)∨p)∨t)
63,((r∨p)(r→r))⊢(r∨p),(q∨p)(p→p)((s∨p)∧(p→p))(s∨p)
64,((r→(¬q))q)⊢(r∨q),(s→(¬q))s((∨s)(∨)
65,(q((s∧t)∧q))⊢(q∧((s∧t)∧q)),q((s∧p)∧p)(q→((p∧p)∧p))
66,((s∨q)r)⊢((s∨(s∨q))∨s),(t∨p)p(t∨(t∨s))((p∨(t∨s))∨s)
67,(p(s∧t))⊢(q∨(p∨(s∧t))),t(s∧p)(t∨(t∧s))(q∨(s∨(s∧q)))
68,((¬q)(s∧t))⊢((s∧t)→s),(¬p)(q∧t)q((p∧q)→t)
69,((r→(r∧p))s)⊢((r→(r∧p))∧((r→(r∧p))∨r)),(r→(p∧s))s((s∨(r∧s))→s)((s∧(r∧p))∧((t∨(s∧p))→s))
70,(((q→p)∧t)t)⊢(t→(q→p)),((t→t)∧t)s(q→t)(t→(s→t))
71,(p((s∨p)∧r))⊢(t∨p),q((q∨p)∧p)((∨∨)
72,((t∨(t∨s))p)⊢(p∨q),(t∨(p∨s))s((∨∨)(∨∨)
73,((s∨t)t)⊢(t∨t),(s∨p)p((∨∨))))
74,(q((p∧t)→t))⊢(q∨t),q((s∧t)→s)(s∨()(∧∨))
75,(((¬r)→t)p)⊢(p∨q),((¬r)→q)s(((¬)())
76,(t(s∨r))⊢(p∨(p∨(s∨r))),t(q∨s)(t∨(r∨s))(q∨(s∨(t∨s)))
77,((q∨t)(¬t))⊢((q∨t)→(¬t)),(s∨q)(¬p)((t∨p)→(¬t))
78,((p∨r)s)⊢((p∨r)∨p),(t∨q)q((∨∨)((t∨()∨∨)
79,((t∧r)(¬r))⊢((¬r)∧((t∧r)∧(¬r))),(s∧q)(¬p)((q∧s)→(¬p))((¬q)→(((∧))∧(¬))))
80,(r(r∧t))⊢(r→(r∨t)),t(s∧p)(t∨p)(q→(q∨q))
81,(((p∧q)∨r)q)⊢(((p∧q)∨r)∨s),((s∧p)∨q)s(((t∧()(q)∨))(((q∧)∨))
82,((q→p)s)⊢(q∨s),(s→s)q((∨→))∨))
83,(((p→p)∧t)(p∨s))⊢(r∨(s∨(p∨s))),((t→t)∧q)(q∨p)((∨((∨∨))(p∨(→(→)))
84,((p∨t)(p∨p))⊢((p∨p)∨q),(s∨p)(p∨p)((∨∨p)∨))((r∨p)∨∨)
85,(((t∧p)∧p)r)⊢(t∧p),((s∧p)∧p)sq(p∧p)
86,(r(q∧p))⊢(t∨r),q(s∧p)((∨∨))
87,((p∨(¬p))t)⊢t,(s∨(¬q))s((s∨(¬q))∧s)s
88,(q(s∧t))⊢(q→(t∨q)),t(s∧p)(t∨p)(q→(q∨q))
89,((q∧s)(t∨(s→t)))⊢(s∨(q∧s)),(s∧p)(s→(r∧s))((∨((∧∧)))
90,((p→t)(t∧(r∧s)))⊢((p→t)∨s),(s→p)(s∧(r∧p))((∨t)((r)))∨)
91,((r→t)(p∧r))⊢((r→t)→((r→t)∨s)),(q→r)(s→p)((p→p)∨t)((s→p)∧((s→s)∨s))
92,(p(s∧r))⊢(p∨r),q(s∧p)((∨∨))
93,(((s→t)∧q)(¬q))⊢(t∨(q∨((s→t)∧q))),((s∧()∨q)(¬q)(q∨(¬s))((¬p)→(s∨(¬s)))
94,((t∧(q→q))q)⊢(q∨q),(r∧(p→q))s((∨∨))
95,((s→t)(p∨r))⊢((s→t)∨p),(q→s)(p∨p)((∨→p)∨))((r→p)∨→)
96,((p∧s)(r→t))⊢(s∨(r→t)),(q∧p)(p→p)((∨(s)∨))(∨(→))
97,(r(p∧t))⊢(q∨r),q(s∧p)((∨∨))
98,((p∧r)((q∨t)∧t))⊢(s∨(p∧r)),(q∧p)((p→t)→t)((∨((∧∧)))
99,((r→r)q)⊢((q∨r)∨p),(q→s)p(t∨s)((t∨t)∨s)
100,((p∧r)(¬q))⊢((¬q)→(s∨(¬q))),(s∧q)(¬p)(t∨(¬p))((¬p)∧(q∨(¬s)))
101,((p∨s)(q∧s))⊢((q∧s)∧s),(s∨q)(p∧s)q((p∧q)∧q)
102,((p→r)(r∧p))⊢(q∨(r∧p)),(s→s)(s∧p)((∨(s∧∧))(∨(∧))
103,(r((r∨p)→p))⊢(((r∨p)→p)∧(r→((r∨p)→p))),q((s∨p)∧s)(q∨((r∧q)→s))(((s→r)→q)∧(q∨((q→p)→s)))
104,(q((q∧r)→s))⊢(r∨((q∧r)→s)),p((s∧p)→s)(s∨(((∧t)→q))(∨((∧))
105,((r∧q)(t∨r))⊢((t∨r)∧r),(q∧p)(t∨s)p((t∨p)∧q)
106,((p→q)(s→t))⊢((p→q)∨p),(q→s)(p→p)((∨→s)∨))((r→)∨→)
107,(((q→q)∧q)(r∧p))⊢((r∧p)→q),((p→t)∧q)(q∧q)q((p∧p)→q)
108,((q∨p)(r∧p))⊢(p∨p),(q∨q)(p∧p)((s∨p)
109,(q(r∨q))⊢(r∨q),q(s∨r)(r∧()∨))(∨)
110,((t∨(s→p))r)⊢((r∨r)∨t),(t∨(p→q))s(t∨s)((q∨t)∨s)
111,((¬p)((s∧p)→q))⊢((q∨(¬p))∨t),(¬p)((s→t)∨s)((∨(¬s))(((¬()s))∨s)
112,((p∧(p∨q))q)⊢(p∨p),(r∧(p∨q))s((∨∨))
113,(r((t∧q)→s))⊢(q∨(r∨p)),q((p∧t)→s)(s∨p)(t∨(s∨s))
114,(((s∧p)∨q)r)⊢(r∧(r∨r)),((s∧p)∨s)s(s∨s)(s∧(t∨t))
115,(((t∨q)→p)t)⊢(t∨q),((q∨p)→r)s((∨r)()∨)
116,((r→(r∧q))s)⊢(s→(s∨q)),(t→(p∧p))s(t∨t)(t→(q∨q))
117,(q(r→r))⊢(s∨(r→r)),t(s→r)(t∨(s→p))(∨(→))
118,(t((s→q)→p))⊢(t∨q),q((q→p)→r)(s∨()(→∨))
119,(t(t∧t))⊢(t∨r),q(s∧q)((∨∨))
120,(r((t→p)∨q))⊢(((t→p)∨q)∨t),p((q→t)∨s)(s∨((t→()∨∨))(((r→)∨)∨)
121,((s∧q)q)⊢(r∨q),(t∧q)q((∨∨))
122,((p∧t)(p∧s))⊢t,(p∧p)(t∧s)s
123,(((r∨r)∧p)p)⊢(p∧(s∨p)),((q∨t)∧t)s(t∨q)(q∧(q∨p))
124,(p(t∨q))⊢(p∨q),q(s∨r)(r∧()∨))(∨)
125,((s∨(p∧p))t)⊢(s∨(p∧p)),(s∨(p∧q))s((r∨(r∧p))∧s)(s∨(p∧p))
126,((q→p)r)⊢(q∨r),(s→s)p((∨→))∨))
127,((r→(t∨p))s)⊢s,(t→(p∨s))s((t→(r∨s))∧p)s
128,((s→t)q)⊢(s∨q),(s→s)q((∨→))∨))
129,(p((p∧s)∨t))⊢(p→(p∨q)),p((p∧t)∨s)(s∨t)(t→(t∨q))
130,((q∨s)(t∧t))⊢((t∧t)∨p),(q∨s)(p∧s)((∨∨p)∨))((∧)∨)
131,(((t∧r)∨p)r)⊢(r∧(r∨r)),((s∧p)∨s)s(s∨s)(s∧(t∨t))
132,(r(p∨(p→q)))⊢((p∨(p→q))∨r),r(s∨(p→p))(r∧()((s→()))((r∨(→))∨)
133,((t∨t)(r∨s))⊢(t∨t),(s∨p)(p∨p)((t∨p)∧(p∨p))(p∨p)
134,(q(r→s))⊢(p∨q),q(t→s)(q∨()→))(∨)
135,(((¬t)∨p)s)⊢(s→(s∨s)),((¬r)∨q)p(s∨q)(q→(q∨q))
136,((t∧(t→t))s)⊢s,(r∧(p→q))s((t∧(s→p))∧p)s
137,(((t→p)→q)p)⊢((t→p)→q),((t→t)→q)s(((t→r)→q)∧s)((s→p)→s)
138,((r→(t→r))(p∧t))⊢((p∧t)∧((p∧t)∨t)),(r→(p∧q))(p∧p)((s∧p)∨s)((s∧r)→((p∧p)∨r))
139,(((s∧q)∧p)t)⊢(q∨(s∧q)),((s∧t)∧p)s(q∧t)(s∨(s∧p))
140,((¬s)(s∨q))⊢((s∨q)∨r),(¬p)(s∨s)((∨∨))∨))((s∨)∨p)
141,((q→q)s)⊢(s∨r),(s→s)p((∨r))∨))
142,((¬q)(t∧r))⊢((t∧r)∧r),(¬p)(p∧t)q((p∧q)∧q)
143,((r∨p)(r→(t∧p)))⊢((r∨p)∨q),(s∨p)(s→(r∧p))((∨∨r)∨t)(())∨)
144,((r∧(r∨t))s)⊢(s∨(r∧(r∨t))),(r∧(p∨s))s((∨∧(r∨∨))∧))(∨()∧(∨)))
145,(q(r∨t))⊢(q∨q),q(s∨r)(r∧()∨))(∨)
146,(((t∧s)∨s)(s∧t))⊢(((t∧s)∨s)∧(s∧t)),((s∧p)∧q)(t∧q)(((s∧p)∧s)∧(p∧s))
147,((q→(r→s))t)⊢(t∧(t∨p)),(t→(p→s))s(s∨s)(s∧(q∨p))
148,(s(s∨r))⊢((s∨r)∨t),t(s∨r)((∨∨)((r∨()∨∨)
149,((¬r)(q∧s))⊢(t∨(p∨(¬r))),(¬p)(t∧p)(s∨(¬p))(s∨(q∨(¬p)))
150,((¬p)((s∧q)∧q))⊢(¬p),(¬p)((s∧t)∧s)((¬p)∧((s∧s)∧r))(¬p)
151,((s∧s)(r→t))⊢((s∧s)∧(p∨(s∧s))),(q∧p)(p∧p)(t∨(p∧p))((p∧p)∧(p∨(t∧q)))
152,((s∧(s∧p))(t∧(q→s)))⊢((s∧(s∧p))→(t∧(q→s))),(r→(p∧q))(q∧(r→q))((s→(p∧p))∧(s→(s→s)))
153,(q(r∨(s∧q)))⊢(p∨(r∨(s∧q))),q(s∨(q∧p))(r∨(r∨(∨∧t)))(t∨()()
154,(s(s∨t))⊢((s∨s)∨s),t(q∨r)((∨∨)((r∨()∨∨)
155,((r∧q)(s∨r))⊢(t∨(r∧q)),(q∧p)(p∨p)((∨(p∧∧))(∨(∧))
156,((p∨s)(¬q))⊢((¬q)→(q∨(¬q))),(s∨q)(¬p)(t∨(¬p))((¬p)∧(q∨(¬s)))
157,(r(t∨t))⊢(t∨(t∨t)),q(s∨r)(t∨()(t∨((∨∨))
158,(r(¬q))⊢((¬q)∨s),r(¬s)((¬()∨))¬)
159,(p(p∨(q→q)))⊢(p∨(q→q)),r(s∨(p→p))(r∧(r∨(t→p)))(t∨(r→p))
160,(s(p→r))⊢(p∨s),q(t→s)(q∨()→))(∨)
161,((¬t)q)⊢q,(¬p)p((¬r)∧p)s
162,((s∧r)r)⊢(s∨(p∨r)),(r∧s)p(p∨p)(t∨(q∨q))
163,(s(r∧(q∨r)))⊢((r∧(q∨r))∧r),p(r∧(p∨s))t((r∧(r∨p))∧q)
164,((p∧q)(p∨q))⊢(t∨(p∧q)),(q∧p)(p∨p)((∨(p∧∧))(∨(∧))
165,(((¬t)∧t)t)⊢⊥,((¬r)∧q)s(¬¬))
166,((q→p)(s∧r))⊢((q→p)→s),(s→s)(s∧s)t((t→t)→q)
167,((q→r)q)⊢((q→r)∧q),(s→s)s((t→r)∧s)
168,((t∧q)r)⊢(s∨(t∧q)),(s∧s)s((∨((∧∧))(∨())
169,(r(r→(q∧p)))⊢(r∧(r→(q∧p))),q(r→(q∧p))(p→(q→(p∧p)))
170,(((r∧p)→r)t)⊢(q∨t),((s∧p)→q)s((∨r)()∨)
171,(((r∧r)∧s)p)⊢((r∧r)∧s),((s∧p)∧q)s(((t∧r)∧q)∧s)((r∧p)∧q)
172,(((r∨q)∧t)q)⊢(q∨p),((q∨p)∧t)s((∨∨))
173,((¬p)q)⊢(r∨q),(¬p)p((∨p)
174,((¬s)((s∨q)∨t))⊢((¬s)→((¬s)∨t)),(¬p)((s→t)∧p)((¬p)∨s)((¬p)→((¬p)∨r))
175,((r→t)(r∧s))⊢(p∨(r∧s)),(s→s)(s∧p)((∨(s∧∧))(∨(∧))
176,((s∨p)t)⊢(r∨(s∨p)),(t∨p)p(p∨()(t∨((∨∨))
177,(((q∧p)∧s)s)⊢(((q∧p)∧s)∨s),((s∧p)∧p)s(((t∧((∧q∧p))(((r∧
178,(s((q∧s)→s))⊢(q∨s),q((p∧t)→s)(s∨()(∧∨))
179,(p((r∧r)∨t))⊢(p→(p∨q)),p((p∧t)∨s)(s∨t)(t→(t∨q))
180,(s(r∧(p→p)))⊢((q∨s)∨t),p(r∧(p→p))(q∨p)((q∨q)∨s)
181,((p∧t)t)⊢((p∧t)∨q),(s∧s)q((t∧p)∨r)(()∨
182,((¬s)(p∧t))⊢(s∨(¬s)),(¬p)(s∧q)((∨(¬¬)))
183,((t∨q)(r→t))⊢((t∨q)∨p),(q∨s)(p→p)((∨∨p)∨))((r∨p)∨p)
184,((q∧q)(r∨p))⊢(r∨p),(q∧p)(p∨p)((s∨q)
185,(((s∧s)→t)s)⊢(((s∧s)→t)∧s),((s∧p)→q)s(((t∧r)→t)∧s)
186,(((¬r)∨s)(t→t))⊢(s∨((¬r)∨s)),((¬r)∨q)(t→s)(((¬q)∨))(s)((())
187,(t(s∧(p∨r)))⊢((p∨t)∨s),p(r∧(p∨s))(s∨p)((q∨q)∨s)
188,(((s→p)∨r)r)⊢(((s→p)∨r)∧r),((t→t)∨s)s(((t→t)∨t)∧s)
189,(r(q→r))⊢(r→(q∨r)),t(s→p)(t∨p)(q→(q∨q))
190,((q∧q)p)⊢((r∨p)∨p),(q∧s)q(t∨p)((t∨t)∨s)
191,(p(s∧q))⊢(r∨s),q(s∧p)((∨∨))
192,(p(r∧(p→q)))⊢(s∨r),q(r∧(p→p))((∨∨))
193,(s(s∨r))⊢(s∨s),q(s∨r)(r∧()∨))(∨)
194,((p→(r∨s))p)⊢(p→(r∨s)),(t→(p∨s))s((∨s)(∨→()∨s))
195,(r((t∨t)∨s))⊢((r∨p)∨q),p((s∨p)∨s)(s∨()((t∨∨)∨))
196,((¬s)((t→p)→q))⊢((¬s)∨q),(¬p)((s→t)→s)((¬()∨))((¬)∨)
197,(((p∧r)→r)(r∨p))⊢(p∨(r∨p)),((s∧p)→q)(q∨q)((∨((q))))))
198,(t(r∧t))⊢((r∧t)→(p∨(r∧t))),p(q∧p)(p∨(t∧s))((t∧q)∧(r∨(t∧q)))
199,((s∧s)q)⊢(p∨q),(s∧s)q((∨∨))
200,(((r→r)∧s)t)⊢((r→r)∨r),((t→t)∧t)s(s→t)((q→t)∨q)
201,((q∧(r→s))s)⊢(p∨s),(r∧(p→q))s((∨∨))
202,(((p∨q)→q)(q∧s))⊢(p∨(q∧s)),((q∨p)∨q)(p∧q)((∨∨(∧∧)))
203,((r∧q)t)⊢(p∨(r∧q)),(s∧s)s((∨(p)∧))(∨()
204,(s((t→s)∧p))⊢(s→(t→s)),q((q→t)∧t)(t→t)(t→(s→t))
205,(q((r∧p)∨p))⊢(q→((r∧p)∨p)),p((s∧t)∨s)(t→((p∧p)∨r))
206,(t(t∨t))⊢t,q(s∨r)(q∧(q∨r))q
207,(s(q∨q))⊢(r∨s),q(s∨r)(r∧()∨))(∨)
208,((r∧t)(q∨s))⊢((q∨s)→t),(q∧p)(p∨s)p((t∨p)→q)
209,((p→q)(t∧q))⊢((t∧q)∧q),(s→s)(s∧t)t((p∧p)∧p)
210,((¬r)(t→s))⊢(s∨(¬r)),(¬s)(p→p)((∨(¬→)))∨()
211,((¬s)(s∧q))⊢((¬s)→(s∨(¬s))),(¬p)(s∧s)(t∨(¬p))((¬p)∧(p∨(¬s)))
212,((r∨s)q)⊢(p∨(q∨p)),(t∨p)p(p∨()(t∨((∨∨))
213,(q(q∧t))⊢(q∨(q∧t)),p(s∧t)((∨(s∧t))(∨(∧))
214,((t∨t)(p∨t))⊢((t∨t)→(p∨t)),(q∨s)(p∨p)((t∨p)→(r∨p))
215,((s→q)r)⊢((r∨t)∨s),(t→s)p(t∨s)((t∨t)∨s)
216,(s(t→r))⊢(q∨(t→r)),t(s→r)(t∨(s→p))(∨(→))
217,(((s∨q)∨p)(q∧t))⊢((q∧t)∧q),((q∨p)∨q)(s∧q)q((p∧p)∧p)
218,(((t∨p)∨q)r)⊢(r∧(r∨r)),((q∨p)∨s)s(t∨t)(t∧(t∨p))
219,(q(r∨(p→t)))⊢(t∨(r∨(p→t))),r(s∨(p→q))(r∨(r∨(t→))))(t∨(t∨(→)))
220,((t∧p)t)⊢((t∧p)∨r),(s∧s)q((t∧p)∨r)(()∨
221,(((r∧p)→r)t)⊢(t∨r),((s∧p)→q)s((∨r)()∨)
222,((r∧q)(q→(p→p)))⊢((r∧q)→((r∧q)∨p)),(s∧p)(s→(r∧p))((s∧p)∨r)((p∧r)→((p∧p)∨r))
223,((s∨(t→t))(q→(r∧r)))⊢((q→(r∧r))∨r),(s∨(p→q))(r→(r→s))((∨∨(p(p))∨))((→(→))∨)
224,((p∨(p∧t))(t→t))⊢((t→t)∧(s∨(t→t))),(s∨(p→q))(p∧p)(t∨(p∧r))((s∧s)→(s∨(s∧p)))
225,((r→r)(t→(t∧t)))⊢(r∨(r→r)),(s→p)(s→(r∧p))((∨(s→→))(()
226,(q((p∨t)∧q))⊢((p∨t)∧q),q((s∨p)∧p)(q∧((q∨q)∧p))((q∧p)∧q)
227,(((s∧s)∧p)q)⊢(s∧s),((s∧p)∧p)sq(p∧p)
228,(((q∧s)∨t)q)⊢(q∨q),((s∧p)∨q)s((∨r)()∨)
229,((t∨(s→s))s)⊢(q∨s),(t∨(p→q))s((∨∨)(∨))
230,((q∧p)(p∨p))⊢(((q∧p)∨t)∨t),(q∧p)(s∨p)((s∧p)∨p)(((p∧p)∨p)∨q)
231,(((q→q)∧q)(r∧p))⊢(((q→q)∧q)∨r),((p→t)∧q)(t∧q)((((∧()∧)))())
232,(t(t→p))⊢(t∧(r∨t)),t(s→p)(t∨t)(q∧(q∨p))
233,(((p∧r)∧q)p)⊢(t∨((p∧r)∧q)),((s∧p)∧p)s((∨t∧(∧∨)∧∧)))∧))
234,((q∨q)q)⊢(q∨t),(s∨p)p((∨∨)))(
235,((t∨p)s)⊢((t∨s)∨r),(t∨q)q((∨∨)((t∨()∨∨)
236,(t((¬r)→p))⊢(t∧((¬r)→p)),q((¬s)→s)(q→((¬p)→s))
237,((t∧(r→q))p)⊢(r→q),(r∧(p→q))s((s→s)
238,(s(p→r))⊢(p∨(p→r)),t(s→r)(t∨(s→p))(∨(→))
239,((q∨p)r)⊢((q∨p)→r),(p∨p)s((t∨p)→p)
240,((t→(¬q))s)⊢((r∨s)∨s),(q→(¬q))s(s∨s)((q∨t)∨q)
241,((r∧s)t)⊢r,(t∧q)q(
242,(q(q∧(r∨r)))⊢(q→(q∧(r∨r))),p(r∧(p∨s))(p→(r∧(q∨s)))
243,((r→(s→r))t)⊢(t∨r),(t→(p→s))s((∨→)(→∨))
244,((s→r)q)⊢(r∨(s→r)),(q→s)p((∨→))∨))(∨(→))
245,(((t∧t)∧q)s)⊢(s∨q),((s∧p)∧p)p((∨∨)))
246,((r→(t→s))r)⊢((t∨r)∨t),(t→(p→s))s(t∨s)((q∨t)∨s)
247,((r∧q)r)⊢q,(t∧q)q(
248,((s∨t)(s∧(s∧q)))⊢(s∧(s∧q)),(s∨p)(s∧(r∧s))((r∨p)∧(r∧(s∧s)))((∧(p∧∧))
249,(t(s∨(r∨r)))⊢(t∨r),r(s∨(t∨q))(r∨()∨(∨)
250,(((q→q)∧p)t)⊢(p∨t),((t→t)∧t)s((∨∨)))
251,((p→(r→r))q)⊢((p→(r→r))→q),(t→(p→s))s((t→(r→s))→s)
252,((s→p)p)⊢(t∨(s→p)),(q→p)p((∨→))∨))(∨(→))
253,((q∨t)((¬q)∨q))⊢(t∨((¬q)∨q)),(s∨q)((¬r)→s)((∨(p)∨))(()(())(∨∨))
254,((t∨q)(r→t))⊢(p∨(r→t)),(q∨s)(p→p)((∨(p→∨))(p∨(t→p))
255,((p∧(t∨r))q)⊢(r∨q),(r∧(p∨q))s((∨∨))
256,(((p→q)∧p)p)⊢(q∨(s∨p)),((t→t)∧t)s(s∨s)(t∨(p∨q))
257,((p→(t→t))((p→p)∧s))⊢((p→(t→t))∨p),(s→(p∧q))((p→s)∧s)((∨((((()))))(
258,(((r∨s)→r)q)⊢((r∨s)→r),((q∨p)∧q)s(((t→t)→q)∧s)((s∨p)→q)
259,((r→(r∧r))t)⊢(r→(r∧r)),(s→(p∧q))s((r→(r∧p))∧s)(s→(p∧p))
260,((p∨(t∨s))p)⊢((p∨(t∨s))→p),(t∨(p∨s))s((s∨(p∨p))→s)
261,((p∨q)s)⊢(t∨s),(s∨p)s((∨∨))))
262,(((r→r)∧q)s)⊢(s∨p),((t→t)∧t)s((∨∨)))
263,((t∨p)r)⊢((s∨r)∨q),(t∨q)q((∨∨)((t∨()∨∨)
264,((t∧q)r)⊢(r∧(r∨q)),(s∧s)p(p∨p)(q∧(t∨p))
265,(p(p∨t))⊢(p→(r∨p)),t(s∨r)(t∨p)(r→(q∨p))
266,(((t∧q)∧s)(¬q))⊢(t∨((¬q)∨q)),((s∧s)∧q)(¬s)((¬s)∨s)(q∨((¬p)∨r))
