Iterations,input,output
51,(s(r∧(p∨p)))⊢r,((∧∧))((∨)(()
52,((p→(q∧r))((p∨s)→p))⊢((p→(q∧r))→((p∨s)→p)),((→()(→→))(→∨)((()(((→)((→((p))((∨)))))))))
53,((s→t)t)⊢(s∨(s→t)),((→→))(())((∨→)())
54,((¬r)p)⊢(q∨(p∨(¬r))),(¬∨)((¬))((∨)(∨()(∨))
55,(((r∨q)∧t)q)⊢((r∨q)∧t),((qq))(q))((∨q)(q∨))
56,((r→(r∧p))t)⊢(t→((r→(r∧p))→t)),((→()(→→))((∨)(((→()∨)))
57,(((s∧p)∨q)(s∨q))⊢(t∨((s∧p)∨q)),((∨()()))(((∨)((()(()))()
58,(t(r→q))⊢(q∨t),((qq))((∨))(∨∨)
59,(q(q∧(p∨q)))⊢(q∧(q∧(p∨q))),((qq)(qq)((qqq((qq())q)
60,(t((p→q)∨r))⊢(t→((p→q)∨r)),((→→))(→))((∨))(∨∨))∨)))
61,((¬q)(q∧s))⊢((q∧s)→q),((∧∧))∧∧)(((qq)())
62,(t((¬r)∧s))⊢(((¬r)∧s)→(¬r)),(¬∧)((∧))((¬)((¬))())(()
63,((r∧s)p)⊢((r∧s)∧(q∨(r∧s))),((∧∧)(∧∧))((ss)(s∧()))
64,((t∨q)(t∨r))⊢((t∨r)∨r),((∨∨))(∨))((∨))(∨∨))∨)
65,(((r∧r)∧t)q)⊢(q→t),((∧∧))(())((∨q)(
66,((s∧(t→s))s)⊢(p∨(s∧(t→s))),((∧∧))s∧))((s))(s→()∧s))
67,((s∧q)(s∧t))⊢((s∧q)∨q),((∧∧))∧∧))((∧∧)(∧)
68,((¬r)(r∨p))⊢((r∨p)∨r),((∨r)(∨r)((∨∨r)r∨∨∨)
69,(r((s→p)∧r))⊢((r∨q)∨q),((rr))(r))((∨r)(∨∨)))
70,((r→p)(r∧q))⊢((r∧q)∨t),((∧∧))()))((∨))(∨∨))
71,(r(s∧(p∧r)))⊢(t∨s),((∧∧))(())((∨s)(
72,(((t∧p)→r)r)⊢(s∨(r∨r)),((→r))(r))((∨r)(∨∨)))
73,(t(p∨r))⊢((p∨r)∨q),((∨∨))(∨∨)((∨∨)(∨∨))
74,(r(p∧(q∨q)))⊢(r→(r∨q)),((∨r))(r))((∨r)(∨∨)))
75,(((q∨r)∨s)t)⊢(t∨p),((∨∨))(t∨)((∨∨)(∨∨))
76,(p(¬t))⊢(r∨(¬t)),(¬∧))(¬p)(())()
77,((t∧s)t)⊢(t∨(t∧s)),((∧∧))(())((∨t)(
78,((s→(t∧r))s)⊢(p∨(t∧r)),((∧∧))(∧))((∨))()∨))
79,((q→r)(p→r))⊢(q∨(q→r)),((→→))(r))((∨r)(∨∨))∨)
80,((t→s)((r∧p)∧s))⊢(t∨(t→s)),((→())∧∧))((∨))((→()∨)))
81,(q(s∧r))⊢(r∨q),((∧∧))((∨)(()
82,((r→(t∨p))s)⊢(t∨s),((→→))(p∨)((∨∨)(∨))
83,(((t→t)∧s)r)⊢(((t→t)∧s)→(t→t)),((→→t(t→))((t)((t→(t→t))
84,((r→(p∨p))p)⊢((r→(p∨p))∧p),(p∨p)ppp))(ppp((pppp∨p))
85,(((p→q)∧p)t)⊢(((p→q)∧p)→t),((→())t)))((∨))((→))∨)))
86,((¬t)(p∨s))⊢(q∨((¬t)∨p)),(¬∨)((∨))((∨)((∨)(())()
87,(q((p→s)∧s))⊢(q∧(q∨s)),((∧∧))∧∧))((∨))()∧))
88,((t∨(p∧r))r)⊢(p∨(q∨r)),((∨∨))(∨))((∨))(∨∨)))
89,(q(r∨(¬p)))⊢(q∧(q∧(r∨(¬p)))),(¬∨)((∨))((∨)((∨)(())((()
90,(r((¬q)→p))⊢(r∨t),((∨r))()))((∨))(
91,((t∧t)(r∧s))⊢t,((∧∧))((∨)((
92,(t(q∨(s→p)))⊢((q∨(s→p))∨t),((→()(()))((∨)((∨∨))∨)))
93,(r((s∧r)→q))⊢(q∨(q∨r)),((rr))(r))((∨r)(∨∨)))
94,((t→t)q)⊢((t→t)∨t),tttt)t(ttt((tt)(ttt)
95,(p(r∧(t∨t)))⊢(q∨r),((∨∨))(())((∨∨)(∨)
96,((s∧p)p)⊢((s∧p)→s),((∧∧))(())((ss)(
97,(t(t∧s))⊢(t→(t∧s)),((∧∧))(())((∨t)(
98,(p(r→q))⊢(q∨p),((→∨))((∨))(∨∨)
99,(p(q∧r))⊢(p∧r),((∧∧))((∨)((
100,(q((r∧r)∧p))⊢((r∧r)∨s),((∧∧))rr))((∨r)()))
101,((¬p)(q→r))⊢(s∨(¬p)),((∧))(∧))((∨)((()(()
102,(p((q∨p)∧q))⊢(s∨((q∨p)∧q)),((∨()())))((∨)(((∨())))
103,((s→(p∧s))t)⊢(t∨(s→(p∧s))),((→∧)(s∧))((s))((→()∧)))
104,((s∨p)((¬r)→p))⊢(s∨(s∨p)),((∨p)(pp)((p∨)(()(())))
105,(((r∨s)∨s)(s∧p))⊢(p∨p),((pp)((p))((∨))(∨∨)))
106,(q(t∨(t∨p)))⊢(q∨(q∨t)),((∨∨))(t))((∨t)(∨∨))∨)
107,(r(r∧p))⊢(r∨t),((r∧))((∨))()
108,(t(p→(t∧s)))⊢(s∨(t∨s)),((→t))()))((∨))(∨∨)))
109,((q∧p)(t→s))⊢((q∧p)∧(p∨(q∧p))),((∧()(∧)))((()((()()))))
110,((s∨s)(t→p))⊢((r∨(s∨s))∨p),((→()(()))((∨)((∨∨))∨)))
111,((q→(¬s))(p∧t))⊢(p∧t),((∧∧)(∧))(((())())
112,((t∧(q→s))((q∨r)∨t))⊢(q∨((q∨r)∨t)),(q∨()(∨))((q∨)((∨q(q∨q)((∨))q))))
113,((t∨q)(s→p))⊢(q∨(t∨q)),((∨∨))(t))((∨))(∨∨))∨)
114,((s∧s)s)⊢((s∧s)∨p),((∧∧))∧()s((∧s)(
115,((s∧r)(r→(s∧t)))⊢((s∧r)→s),((∧∧))s∧))((ss)(ss()∧s)
116,((p∧(¬r))s)⊢(q∨(¬r)),(¬∧)((¬))(())(())(
117,((t∧t)p)⊢p,((∧∧))(
118,((p∧(s∧r))(s∧(p∨q)))⊢(p∨(s∧(p∨q))),((s()(s))((s))((()(()))()()))
119,(r(t→(r∨s)))⊢r,((r∧))((∨))(∨∨)
120,(((s∧s)∧p)q)⊢(q∨t),((∧∧))(())((∨∧)(
121,((p→(p∧p))(t→s))⊢(((t→s)∨t)∨p),((→p)(p→))(p∨)((pp((∨p)))
122,(r(p→p))⊢(r∧(p→p)),((→p))(p))((∨p)()
123,(((¬p)→p)t)⊢(t∧(t∨t)),((tt)ttt)((ttt)(ttt)
124,(((r∧r)∨p)t)⊢(t∨((r∧r)∨p)),((∨()(∨)))((∨)((∨∨))∨))
125,((¬q)((¬p)∨q))⊢((¬q)→((¬q)∨q)),(¬¬)((¬))(¬∨)(¬∨)(¬¬)((¬¬)¬¬)¬
126,(((r∨s)→r)q)⊢(((r∨s)→r)∧q),((→r))r)))((∨r((rr))∨r))
127,(t(p→(t∧s)))⊢(t∧(p→(t∧s))),((∧∧))∧∧))((t))(t∧()∧)
128,((r∨r)(s→(p∧t)))⊢(r∨r),((→r))(r))((∨r)(∨∨)))
129,(p(r∨t))⊢(r∨p),((∨∨))(p∨))(∨∨)
130,((s→(q∨t))r)⊢(s∨r),((→→))(r∨)((∨∨)(∨))
131,((q∧p)(t→p))⊢(q∨(t→p)),((→→))(t))((∨))(∨∨)))
132,(((p→t)∧r)(t∧s))⊢((p→t)∧r),((∧∧)(∧∧))((∨))((∧()))
133,((¬s)(¬p))⊢(p∨(¬p)),(¬p)(¬¬p)((¬)¬¬))()
134,(q(p∧r))⊢(q→(p∧r)),((∧∧))(())((∨s)(
135,((t∧p)((r→s)→r))⊢((r→s)→r),((→→))(→))((∨→)(s→))∨s))
136,(p((p∨p)→q))⊢((p∨p)→q),((∨p))(p))((∨))(∨∨))∨)
137,(((p∧r)∨p)(q∧(r∨p)))⊢(((p∧r)∨p)∨r),((∨()(∨))((p∨)(((((()))()∨)))))
138,((s∧r)r)⊢(s∨(p∨r)),((rr))(r))((∨r)()
139,(s((q∧s)∧p))⊢(s∨p),((∧∧))(())((∨s)(
140,(((r∧r)∨p)(t∧p))⊢((t∧p)→p),((pp)(pp))((∨))(pp()))
141,(((t→r)∧t)r)⊢(s∨r),((→∧))(())((∨))()
142,(((p∨t)→s)(s→(q→r)))⊢((s→(q→r))∨r),((→()→→→))(→∨)(((→((∨))((→))→)))
143,((p∨(r∧q))((p→r)→r))⊢((p∨(r∧q))∧((p∨(r∧q))∧((p→r)→r))),(r→(r→r))(→r)(((()(((→(((r((r((((r)(r))((())r))))→((r)))))))∧((p→r)→))))
144,((r∧r)(s∧q))⊢((s∧q)→((s∧q)∨r)),((∧()(q∧))((()(()∧()))))
145,((¬s)(p∨(¬s)))⊢(r∨(¬s)),(¬¬)((¬))((∨)((¬)(())(
146,(t(q∨t))⊢(t∧(s∨t)),((tt))(t)t((∨t)()
147,(((s→t)∧p)(q∨q))⊢(((s→t)∧p)∧p),((∧()(∧)))((∨)((()()))))
148,(t(s∨(t→s)))⊢t,((∧∧))((∨))(∨)
149,((t∨p)q)⊢((q∨q)∨r),((∨∨))(q∨)((∨∨)(∨∨))
150,(((s∧r)∨p)(q∨s))⊢(((s∧r)∨p)∨t),((∨()(∨))(((∨)((()(()))()
151,((s∧r)(¬p))⊢((s∧r)∨r),((∧∧)(∧))((()))())
152,(q(s∨r))⊢(s∨q),((∧∧))((∨))(∨)
153,(q(q∧(p∨q)))⊢(q∧(r∨q)),((qq)qqq)q((qq)(qq))
154,(p(q→(q→s)))⊢(r∨(q→(q→s))),((→→))(→))((∨→)(∨→))∨)))
155,(((s∧t)∧q)q)⊢(t∨(s∧t)),((∧∧))∧∧))((∨t)()
156,(((t→t)∧q)(t→t))⊢((t→t)∧q),(ttttttttt(tttt(tttttt))
157,((p→r)s)⊢((p→r)∨q),((→→))(r∨)((∨∨)(∨∨))
158,((¬r)(r∨p))⊢((¬r)∨p),(¬∨)((¬))((∨)(∨()(∨))
159,(p((p∧s)∧q))⊢(p→((p∧s)∧q)),((∧∧)(∧∧))((s))(s∧())
160,((s∧p)(q→t))⊢((q→t)∧p),((∧∧))(∧))((∨))()→)))
161,((¬p)(s→p))⊢((s→p)∨q),((∧p)((p))((∨))()∨))
162,((¬p)((q∧p)∧r))⊢(q∨((q∧p)∧r)),((∧()(∧))((s)((())())))
163,((s∨s)(p→s))⊢(s∨(s∨s)),((→s))(s))((∨))(∨∨)))
164,(((r∨r)→r)p)⊢(((r∨r)→r)→(((r∨r)→r)∨t)),(r∨rr∨r∨))(rrr(rrrrrrr)rrrrrr∨rrrrr)r)
165,((t→p)(p∧(r∧q)))⊢(t∨(t→p)),((→()(()))((∨))((∨))∨)))
166,((s∧(t→s))s)⊢(t∨(p∨s)),((→∧))(p))((∨))((∨)))
167,((p∧t)(s∨(p∨r)))⊢((p∧t)∧((p∧t)∨p)),(pp()(p))((pp)((p)(()p)()p)))
168,(s(q→(q∨s)))⊢(s→(s∨s)),((→→))(→))((∨))(∨→)))
169,(q(q∧t))⊢(q∨s),((∧∧))((∨q(()
170,((r∨s)s)⊢((r∨s)∨p),((rr))(r))((∨r)(∨∨))
171,((r→(p→q))((t∧q)→p))⊢(q∨((t∧q)→p)),((→()(→)))((∨)(((→((∨))((()))))
172,(p(t→r))⊢(s∨p),((→p))((∨))(∨∨)
173,(t(p∨p))⊢(p∨p),p(pp)p(p∨p)(∨p)
174,(s(t∧(r∧t)))⊢(s∧(r∧t)),((∧∧))∧∧))((∧∧)(
175,(t(r→s))⊢(t→(r→s)),((→→))((∨)((∨→)(→))
176,((s→p)p)⊢(q∨p),((→p))((∨))(∨∨)
177,(((s→t)∧p)(q∨q))⊢((q∨q)∨r),((∨q)(q)))((∨)((∨∨))∨)))
178,((q→p)(q→t))⊢((q→p)∧(q→t)),((→→))(→))((∨))((→))∨)))
179,((q→s)(q∨q))⊢(p∨(q→s)),((→→))(q))((∨))(∨∨)))
180,((p∨s)((p→q)→t))⊢((p∨s)∨s),((→()(()))((∨)((∨∨))∨)))
181,((r∧(p→q))s)⊢(p∨(r∧(p→q))),((→()(()))((∨))((∨))∨)))
182,((¬t)(r∨t))⊢((r∨t)∨p),((∨∨)(∨∨)((∨∨))(∨∨))
183,((p∧t)r)⊢((p∧t)∨p),((∧p))(p))((∨p)(
184,((p→s)(q∨q))⊢(t∨(q∨q)),((∨q))(q))((∨))(∨∨))∨)
185,((p∧q)q)⊢(p∨s),((∧∧))((∨)(()
186,(t(q∧s))⊢(q∧s),((∧∧))(()∧((
187,((¬p)(s∧p))⊢(¬p),(¬∧))p¬p)(())
188,((r→(s∧t))q)⊢((r→(s∧t))∨q),((→())q)))((∨))((→))∨)))
189,((q∨s)(t→s))⊢(q∨s),((→→))(())((∨))(∨))
190,(s((r∧t)∨s))⊢(s→((r∧t)∨s)),((→()(s)))((∨))((s()))))
191,((p→(¬r))(s∧q))⊢((p→(¬r))→((p→(¬r))∧(s∧q))),(ss(((∧))(→s)((¬))(()((((()()(())))))))))()))))))
192,((p∧q)s)⊢(s∧(s∨p)),((∧∧))(())((∨s)(
193,(s(r→s))⊢(s→(r→s)),((→→))(s))((∨→)(→))
194,((r∨q)(¬t))⊢((¬t)∨p),(¬∨))(¬))((∨)((()(())
195,(t((¬q)→t))⊢t,((∧∧))(())((
196,(q(q→s))⊢(q→(q→s)),((→→))(q))((∨→)(→))
197,(t(p→t))⊢(p∨(q∨t)),((∨t))(t∨)((∨t)(∨∨))
198,((t∧(t∨p))q)⊢((t∨p)∨t),((∨t)t(t)t((∨t)(t∨))
199,(((t∧r)→q)(t∧p))⊢((t∧p)∨q),((∧()(t)))((∨))((t()))
200,(((q∧t)→p)s)⊢((t∨s)∨p),((→p))()))((∨))(∨∨)))
201,((r∧t)s)⊢(r∨s),((∧∧))((∨)(()
202,(t((s→r)→p))⊢(t∧((s→r)→p)),((→→))(→))((∨→)((→))∨s))
203,((r→t)s)⊢((r→t)∧(q∨(r→t))),((→→))(→))((∨))(∨→))∨)))
204,((q∧q)(r∨p))⊢((r∨p)∨p),((∨∨)((∨))((∨))(∨∨)))
205,((r∨s)p)⊢(r∨(r∨s)),((rr))(r∨)((∨r)(∨∨))
206,((r→t)(p∧q))⊢(p∧q),((∧∧))(())((∨))(
207,(p(s∧q))⊢(p→(s∧q)),((∧∧))(())((∨s)(
208,((s∨t)(r∧s))⊢(t∨(r∧s)),((∧∧))()))((∨))()∨))
209,((r∧r)(r∨t))⊢(t∨(r∨t)),((∨∨))(∨))((∨))(∨∨)))
210,((¬q)(p∧q))⊢((¬q)∨p),(¬∧)((¬))((∨)(())(
211,((t→t)(q∨(¬s)))⊢((t→t)∨s),((t()(t))(((∨)(((t()))))
212,((q∨(p∧q))s)⊢(t∨(q∨(p∧q))),((∨()(q)))((∨)(((∨())))
213,(t((¬t)∨p))⊢((t∨p)∨p),((∨p)(∨p)((∨∨p)(∨∨))
214,(((r∨r)∧p)p)⊢(r∨r),((rr)r(r∨)((∨r)(∨)
215,(((q→r)∨q)s)⊢(s→(((q→r)∨q)∧s)),((→()(q)))((∨)(((→()∨))))
216,((¬p)(r→q))⊢(q∨(r→q)),((∨r)(()))((∨))(∨∨))
217,((¬s)(r→(r∧t)))⊢((¬s)∧((¬s)∨q)),(¬∧)((∧))((¬)((¬))(()((()))))
218,(q(s→s))⊢((s→s)∨p),((→→))(())((∨→)())
219,((r→r)q)⊢((r→r)∧((r→r)→q)),(r→rr)rr))((rr)(rrrr∨r))
220,((p∨p)(q∧r))⊢(r∨(q∧r)),((rr))(r))((∨))(∨∨))
221,((r∧(r∨t))s)⊢(r∨s),((rr))(r))((∨r)()
222,(((q→s)∨t)(t∨r))⊢(((q→s)∨t)∨t),((∨()(∨)))((∨)((∨∨((∨)))∨))
223,((r→p)((r→t)∨r))⊢(((r→t)∨r)∧(((r→t)∨r)∨q)),(r∨()→∨))((→∨)((()((∨r)((r)(r))(∨∨))r)))))))
224,(q(t∧(¬s)))⊢(s∨q),((∧∧))∧()(((∨q)
225,(((q→t)∨s)(p→t))⊢(((q→t)∨s)∨s),((→()(→→))((∨)((∨→((∨))))
226,((t∨s)(t∧p))⊢((t∨s)∨r),((∨p))()))((∨))(∨∨)))
227,(((s∧p)∨q)r)⊢(r∨q),((rr))(r))((∨r)(∨)
228,(p(r∧(p→q)))⊢p,((∧∧))((∨)(()
229,(p((¬p)∨r))⊢(r∨p),((∨p)p(p)((∨∨p)(∨
230,((¬p)(s∧p))⊢((¬p)→(s∧p)),(¬∧)((∧p)((p)(()))())
231,((q∨r)(¬s))⊢((q∨r)∨s),((∨r)(∨))((∨∨))()∨))
232,(q(q∨s))⊢(q∨q),q(qq))(q∨q)(∨q)
233,((t∧(t→t))s)⊢(s∨r),((∧∧))(())((∨))()
234,((q∧r)(p∨r))⊢(r∨r),((rr)r(r)r((∨r)(∨)
235,((q∧p)r)⊢((q∨r)∨t),((∨∨))(q))((∨∨)(∨)
236,((s∨t)t)⊢((s∨t)→t),((tt))(t))((∨t)(∨))
237,((t∨r)(p→r))⊢((p→r)∨t),((∨∨))(∨))((∨))(∨∨))∨)
238,((p∧(¬r))((p∨t)→p))⊢(((p∨t)→p)∨s),(p∨()(p))((pp)((p(((pp)()p))))))
239,((q∨r)(t→p))⊢(t∨(q∨r)),((∨∨))(∨))((∨))(∨∨))∨)
240,((p→r)t)⊢(t→(r∨t)),((→→))(t∨)((∨∨)(∨∨))
241,((t∨q)p)⊢(p∨(t∨q)),((∨∨))(t∨)((∨∨)(∨∨))
242,(((r∨q)∧t)q)⊢(t∨((r∨q)∧t)),((qq)(qq))((∨)((qq))∨)))
243,(s(q∧p))⊢((t∨s)∨r),((∧∧))(())((∨))()
244,((t∨r)q)⊢(r∨(t∨r)),((∨∨))(∨∨)((∨∨)(∨∨))
245,((q∧t)q)⊢(q∧((q∧t)→q)),((∧qqqqq)qqqqq)qqqq)
246,(p((t∧q)→s))⊢((p∨q)∨q),((→())()))((∨))(∨∨)))
247,(((p∨q)→q)(q∧s))⊢(s∨((q∧s)∨r)),((→()(q)))((∨)((()())))))
248,((t∨(q∧t))(r∨(s∧s)))⊢((t∨(q∧t))→(r∨(s∧s))),((→()(→))((∧))((()((()(((()()))(())))))))))
249,(p(p∧t))⊢((p∧t)∨r),((∧p))(p))((∨p)(
250,(((t→t)∧s)q)⊢((t→t)∨q),((tt))(t))((∨t)(tt)))
251,((r→s)(t∧(¬r)))⊢((r→s)→(s∨(r→s))),((→()(r)))(s()((()(()))((()))))
252,(((s→t)∧p)(q∨q))⊢(p∨((s→t)∧p)),((→()(t)))((∨)((()((∨)))
253,(r((r∨r)→r))⊢(t∨r),((rr)r(r∨r((∨r)(∨∨))
254,((s∧r)t)⊢t,((∧∧))(
255,((q∨t)t)⊢(p∨(q∨t)),((∨∨))(t∨t((∨t)(∨∨))
256,((¬t)p)⊢(p∨r),((pp)p(p)∨()
257,(s((¬s)∧p))⊢(p∨p),((∧∧)p∧p)(()pp)
258,((q∧(p→q))t)⊢((q∨t)∨p),((∨t))(t))((∨))(∨∨)))
259,((q∨(p→q))(s→q))⊢(s∨(s→q)),((→→))(→))((∨))(∨→))∨)))
260,(((p∨q)∨p)t)⊢(s∨t),((∨∨))(t∨)((∨∨)(∨∨))
261,(r((t∨s)→t))⊢(((t∨s)→t)→(((t∨s)→t)∨s)),((→()(→→))(→∨)(((→((∨t)((t)→t)))(∨)))))
262,(((q→t)∧q)t)⊢(q→t),((∧q))(t))((∨q)()
263,(q((¬s)∨r))⊢(q∨p),((∨r))())(((∨))(
264,((r∨q)(¬t))⊢(p∨(r∨q)),((∨∨)(∨))((∨∨))(∨∨))
265,((s∨(t→t))s)⊢((s∨(t→t))→s),((→→))(→))((∨))(∨→))∨t))
266,(rr)⊢(r∨s),r(r∧))((∨)
267,((q∧p)(p∨r))⊢((q∧p)→(p∨r)),((∨()(()))((∨)((∨∨))∨)))
268,((r∧(r∨t))s)⊢((r∧(r∨t))∧s),((∧()(∧)))((∨)(())()))
269,(r(s∧t))⊢((s∧t)∨r),((∧∧))(())((∨))(
270,((q∧q)s)⊢(q∨r),((∧∧))((∨)(()
271,(q(p∧q))⊢q,((∧∧))(
272,((t∨(t∨p))t)⊢(s∨t),((∨t)t(t∨t((∨t)(t∨))
273,(t(p→(t∧s)))⊢(t∨(p→(t∧s))),((→t)(t)))((∨))(tt))∨t))
274,((t∨s)p)⊢(p∨q),((∨p))((∨))(∨∨)
275,(((r∨r)∧p)p)⊢(p∨r),((∨r)p(p))((∨∨)(∨)
276,((r∧r)r)⊢(r→(t∨(r∧r))),((rr)rrr))((rr)(rr))
277,(s(t∧s))⊢(t∨r),((∧∧))((∨)(()
278,((q∧s)t)⊢(s∨(q∧s)),((∧∧))(())((∧∧)(
279,((t→r)(q∧t))⊢(q∨(t→r)),((→→))(q))((∨))(∨∨)))
280,(((r∨r)∨t)((¬p)∨r))⊢(((¬p)∨r)∨r),(¬∨∨((∨))(∨∨)(∨∨r(∨∨)(∨∨))∨∨)∨)∨
281,((t→p)(t∧(¬p)))⊢(p∨t),((pp)(tp)(((∨))()∨))
282,(q(t→r))⊢(r∨q),((qq))((∨))(∨∨)
283,((s→q)(s∧t))⊢((s∧t)→((s∧t)∨q)),((∧()(∧∧))((()(((∧()∧)))
284,(s(p∨(t∨s)))⊢((s∨p)∨t),((∨p)((p))((∨))(∨∨)))
285,(s(t∧q))⊢(s∨s),((∧∧))((∨)(()
286,(s(s∧p))⊢((s∧p)→s),((∧∧))(()s((ss)(
287,(q((r∧r)∧p))⊢(((r∧r)∧p)∨p),((s∧)(r)))((∨)(())()))
288,((t∨t)((t→t)∧s))⊢(t∨((t→t)∧s)),(tttt(tt)t(tttt(tttttt))t
289,((q→r)q)⊢(q∧(q∨q)),q(qqqq(qqqq(qq)qqqq)
290,(((r∨r)→r)p)⊢(r∨p),((rr)r(r∨r((∨r)(∨∨))
291,(t((r→r)→q))⊢(q∨(t∨r)),((→∨))(q))((∨))(∨∨))∨)
292,((s∨r)q)⊢(r∨(s∨r)),((rr))(r∨)((∨r)(∨∨))
293,(p(t∨t))⊢(p∧(t∨t)),((tt)t(ttt((∨t)(∨)
294,(q(s∧(p→s)))⊢((r∨q)∨q),((→q))()))((∨))(∨∨)))
295,((r→(p∧q))r)⊢(r∨t),((→r))(())((∨∨)(∨)
296,((¬q)((¬p)∨q))⊢((¬q)∧((¬q)∨q)),(¬¬)(¬¬))(¬¬)(¬¬)(¬¬)(¬¬¬)¬¬)¬¬
297,(((t∧s)→q)s)⊢(p∨s),((∧∧))(())((∨))()
298,((t∨(¬s))s)⊢(s→(t∨s)),((∧∧)(∧)))((∨))()∨))
299,(q(s∧(p∧r)))⊢(q∧s),((∧∧))∧()∧((∧∧)
300,(q(r∧t))⊢(s∨(t∨q)),((∧q))(q))((∨q)()
301,(s(s→s))⊢(s→((s→s)∨q)),((→→))(∧))((∨→)(s→)))
302,((q→r)s)⊢(q→r),((→→))((∨))(∨→)
303,(p(q∧p))⊢(s∨q),((∧∧))((∨)(()
