Iterations,input,output
22,((s∨s)(p→s))⊢((s∨s)∨p),(s∨s)(p→s)((s∨s)∨))((s∨s)∨p)
23,(q((s∧p)∧q))⊢((q∨q)∨t),q((s∧p)∧q)(q∨q)((q∨q)∨t)
24,((q→p)(t∧q))⊢q,(q→p)(t∧q)q
25,((p∨q)s)⊢(s∨q),(p∨q)s((p∨q)∧s)(s∨q)
26,(((q∨r)∨t)q)⊢(r∨((q∨r)∨t)),((q∨r)∨t)q(((q∨r)∨t)∧q)(r∨((q∨r)∨t))
27,(s(t∧s))⊢(((t∧s)∨q)∨p),s(t∧s)((t∧s)∨q)(((t∧s)∨q)∨p)
28,((¬t)r)⊢((t∨r)∨r),(¬t)r(t∨r)((t∨r)∨r)
29,((s→s)q)⊢((s→s)→q),(s→s)q((s→s)→q)
30,(((q→q)∧p)(q∨r))⊢(((q→q)∧p)∧p),((q→q)∧p)(q∨r)p(((q→q)∧p)∧p)
31,((p∧p)t)⊢(t→(t∨s)),(p∧p)t(t∨s)(t→(t∨s))
32,(s(p∧r))⊢(s∧(s∧(p∧r))),s(p∧r)(s∧(p∧r))(s∧(s∧(p∧r)))
33,((t∨p)s)⊢((t∨p)∨q),(t∨p)s((t∨)((t∨p)∨q)
34,((t→(r∨s))(t∨p))⊢((t→(r∨s))∨s),(t→(r∨s))(t∨p)((t→(r∨s))(t→(r∨s))∨s)
35,((s→q)(¬t))⊢((s→q)∨q),(s→q)(¬t)((s→q)∨))((→→q)∨q)
36,((q→(t→r))(q∧p))⊢(q∨(q→(t→r))),(q→(t→r))(q∧p)((q(q→→))rq∨(q→(t→r)))
37,(q(p∨(p→r)))⊢((p∨(p→r))∨t),q(p∨(p→r))(q∨(p∨(p→r)))((p∨(p→r))∨t)
38,((s∨(t→t))s)⊢(s→(t∨s)),(s∨(t→t))s(t∨s)(s→(t∨s))
39,(((q→q)∧q)(r∧p))⊢(q→q),((q→q)∧q)(r∧p)q(q→q)
40,((t→s)r)⊢(s∨(t→s)),(t→s)r((t→s)sr)(s∨(t→s))
41,(((s→s)∧q)(r∨s))⊢((s→s)∧q),((s→s)∧q)(r∨s)q((s→s)∧q)∧(r∨s))((s→
42,((t∨q)(r∨s))⊢((r∨s)∨t),(t∨q)(r∨s)((t∨q)∨))((r∨s)∨t)
43,((p∨t)p)⊢((p∨r)∨s),(p∨t)p(pp∨)((p∨r)∨s)
44,(q((r∧q)→r))⊢(q∧(q∨s)),q((r∧q)→r)(q∨s)(q∧(q∨s))
45,((r∧q)(t∨q))⊢r,(r∧q)(t∨q)r
46,(t(r∧(q∨s)))⊢(t∧(q∨s)),t(r∧(q∨s))(q∨s)(t∧(q∨s))
47,(((s∧s)∨s)(¬q))⊢((¬q)∧((¬q)∨p)),((s∧s)∨s)(¬q)((¬q)∨p)((¬q)∧((¬q)∨p))
48,(((s∨p)∨q)(s∨t))⊢(t∨(s∨t)),((s∨p)∨q)(s∨t)(((ssp))))∧(sstt))t(
49,((q∧(q∨p))(r∨(t→s)))⊢(r∨(t→s)),(q∧(q∨p))(r∨(t→s))(tq∧(q∨∨(t→sr∨(t→s)))(r∨(t→s))
50,((t∨(s∧s))s)⊢(q∨(t∨s)),(t∨(s∧s))s(t∨s)(q∨(t∨s))
51,((r∨(p∧r))(q∧q))⊢((q∧q)∨q),(r∨(p∧r))(q∧q)((qq∧q∨∨))
52,(q(p→(¬r)))⊢(q∨(q∨q)),q(p→(¬r))(q∨q)(q∨(q∨q))
53,((r∨(p∧r))t)⊢((t∨r)∨s),(r∨(p∧r))t(t∨r)((t∨r)∨s)
54,(t((t∨t)∨s))⊢(r∨(t∨r)),t((t∨t)∨s)(t∨r)(r∨(t∨r))
55,(r((s→t)→q))⊢r,r((s→t)→q)(r∧((s→t)→q))r
56,(q(r→(q∧p)))⊢(q∧(s∨q)),q(r→(q∧p))(s∨q)(q∧(s∨q))
57,(s(t→r))⊢(p∨s),s(t→r)(s∨(t→r))(p∨s)
58,((q∨r)(q→s))⊢((q→s)∨p),(q∨r)(q→s)((q∨r)∨))((q→s)∨p)
59,((p→(¬r))(s∧q))⊢((s∧q)∨p),(p→(¬r))(s∧q)(((s∧)∨p))∧
60,(s(t∨r))⊢(s∧(t∨r)),s(t∨r)(t∨s)(s∧(t∨r))
61,((q∨t)t)⊢((q∨t)→t),(q∨t)t((q∨t)→t)
62,((q∧(¬t))(q∨s))⊢((q∧(¬t))∧(q∨s)),(q∧(¬t))(q∨s)((q∧(¬t))∧(q∨s))
63,((p→(t→r))p)⊢((p→(t→r))∧(t→r)),(p→(t→r))p(t→r)((p→(t→r))∧(t→r))
64,((p→(t∧s))t)⊢((p→(t∧s))∨r),(p→(t∧s))t((p→(t∧s))∨t)((p→(t∧s))∨r)
65,(q(q∧p))⊢(p∨(q∧p)),q(q∧p)(q∨(q∧p))(p∨(q∧p))
66,((s∨t)s)⊢(p∨(s∨t)),(s∨t)s(s∨t)(p∨(s∨t))
67,(s((t∧t)→p))⊢(((t∧t)→p)∨p),s((t∧t)→p)(s∨((t∧t)→p))(((t∧t)→p)∨p)
68,(r(q∨p))⊢(r∨p),r(q∨p)(r∨(q∨p))(r∨p)
69,((r∨q)r)⊢(s∨(q∨r)),(r∨q)r(r∨r)(s∨(q∨r))
70,((q∧p)(p∨r))⊢(t∨p),(q∧p)(p∨r)p(t∨p)
71,((r∧r)t)⊢(r∧r),(r∧r)tr(r∧r)
72,(((t∧t)→q)(q∨t))⊢(s∨(p∨(q∨t))),((t∧t)→q)(q∨t)(p∨(q∨t))(s∨(p∨(q∨t)))
73,((q∨p)p)⊢p,(q∨p)p((q∨p)∧p)p
74,(t((t∧t)→p))⊢(p∨t),t((t∧t)→p)(t∨((t∧t)→p))(p∨t)
75,((¬r)((r∧r)∧p))⊢(p∨(¬r)),(¬r)((r∧r)∧p)((∨r)rr)(p∨(¬r)
76,(r(p∨s))⊢((p∨s)→(r∧(p∨s))),r(p∨s)(r∧(p∨s))((p∨s)→(r∧(p∨s)))
77,(((p∨t)→s)(s→(q→r)))⊢(p∨(s→(q→r))),((p∨t)→s)(s→(q→r))(((→∨→)→))∨))(p∨(s→(q→r)))
78,(((s∨p)∨s)(r∨q))⊢((r∨q)∨s),((s∨p)∨s)(r∨q)(((s∨p)∨s)∧(r∨q))((r∨q)∨s)
79,((r∧s)(¬p))⊢((¬p)∧r),(r∧s)(¬p)r((¬p)∧r)
80,(r(r∨(p∨t)))⊢(t∨(r∨(p∨t))),r(r∨(p∨t))(r∨(r∨(p∨t)))(t∨(r∨(p∨t)))
81,(t((s∧q)→s))⊢(p∨t),t((s∧q)→s)(t∨((s∧q)→s))(p∨t)
82,((p∧(t∨r))q)⊢(p∧(t∨r)),(p∧(t∨r))q(t∨r)(p∧(t∨r))
83,((s∧(q∨r))((t∧p)∧r))⊢(r∨s),(s∧(q∨r))((t∧p)∧r)s(r∨s)
84,(t(r∧t))⊢(r∨(r∧t)),t(r∧t)(tr(r∧t))(r∨(r∧t))
85,((p∨(p→q))(t∧q))⊢(r∨(p∨(p→q))),(p∨(p→q))(t∧q)(p∨(t→q))(r∨(p∨(p→q)))
86,((¬t)t)⊢⊥,(¬t)t⊥⊥
87,((t→p)((p→t)∨s))⊢((t→p)→((p→t)∨s)),(t→p)((p→t)∨s)((t→p)∨s)((t→ps→((p→t)∨s))
88,(s(r∧q))⊢(s∨(s∨r)),s(r∧q)(s∨r)(s∨(s∨r))
89,(r(q→(r∨q)))⊢(q∨r),r(q→(r∨q))(r∨(q→(r∨q)))(q∨r)
90,((t∨(s→s))s)⊢((t∨(s→s))∧s),(t∨(s→s))s((t∨(s→s))∧s)
91,(q(p∨q))⊢((s∨q)∨r),q(p∨q)(q∨q)((s∨q)∨r)
92,(((q∨s)∧q)r)⊢(((q∨s)∧q)→r),((q∨s)∧q)rq(((q∨s)∧q)→r)
93,(t(p→p))⊢((p→p)∨p),t(p→p)(t∨(p→p))((p→p)∨p)
94,(q(q∧t))⊢(r∨q),q(q∧t)q(r∨q)
95,((r∧(q→q))((r→s)∧r))⊢(q∨(r∧(q→q))),(r∧(q→q))((r→s)∧r)((∨((∧(q)r)))→q∨(r∧(q→q)))
96,(p(p∧q))⊢(p∧p),p(p∧q)p(p∧p)
97,((t∧p)q)⊢((t∧p)∧p),(t∧p)qp((t∧p)∧p)
98,(q(p∧q))⊢(q→(q∨t)),q(p∧q)(q∨t)(q→(q∨t))
99,(t(s∧t))⊢((s∧t)∨r),t(s∧t)(t∨(s∧t))((s∧t)∨r)
100,(q(r∧s))⊢q,q(r∧s)(q∧(r∧s))q
101,((t→s)(p∧q))⊢(s∨(p∧q)),(t→s)(p∧q)((∨(p)∨))(s∨(p∧q))
102,((p→r)r)⊢(r∨q),(p→r)r((p→r)rr)(r∨q)
103,((p∨s)(s∨(t→r)))⊢(t∨(s∨(t→r))),(p∨s)(s∨(t→r))(s∨(s→r))(t∨(s∨(t→r)))
104,(((¬t)∧t)t)⊢(t→(¬t)),((¬t)∧t)t(¬t)(t→(¬t))
105,(p(r∧s))⊢(r∨s),p(r∧s)r(r∨s)
106,(t((t∧t)→p))⊢((t∨q)∨p),t((t∧t)→p)(t∨q)((t∨q)∨p)
107,((p∨(s∨q))r)⊢((r∨r)∨t),(p∨(s∨q))r(r∨r)((r∨r)∨t)
108,(((¬p)∨r)r)⊢(r∨q),((¬p)∨r)r(((¬p)∨r))r)(r∨q)
109,((t→s)(p∨q))⊢(s∨(t→s)),(t→s)(p∨q)((t(s)∨))(s∨(t→s))
110,((t∧r)(¬r))⊢(p∨(¬r)),(t∧r)(¬r)((∨((rr))((¬r)
111,((t→r)((¬t)∨q))⊢((t→r)∨p),(t→r)((¬t)∨q)((t→r)∨p)(()(r)→r)t
112,(q(t∧t))⊢(t∧t),q(t∧t)t(t∧t)
113,(((p∧r)∧q)s)⊢(q∨s),((p∧r)∧q)s((∨∨))
114,((¬r)(t∧q))⊢((¬r)∧(t∧q)),(¬r)(t∧q)((¬r)∧(t∧q))
115,((p→(p∧p))(t→s))⊢(t→s),(p→(p∧p))(t→s)((p→(p∧p))∧(t→s))(t→s)
116,((r→p)p)⊢(t∨p),(r→p)p((r→p)∧p)(t∨p)
117,((q∨(p→q))(¬s))⊢(q∨(p→q)),(q∨(p→q))(¬s)((q∨(p→q))∧(¬s))(q∨(p→q))
118,(q(s→q))⊢((q∨t)∨q),q(s→q)(q∨t)((q∨t)∨q)
119,((p∨(¬r))p)⊢(t∨(p∨(¬r))),(p∨(¬r))p((p∨(¬r)))p)(t∨(p∨(¬r)))
120,(((s∧s)∧p)r)⊢(r∨((s∧s)∧p)),((s∧s)∧p)r(((s∧s)∧p)∧r)(r∨((s∧s)∧p))
121,((q→s)(r∨(p∧q)))⊢((q→s)∨t),(q→s)(r∨(p∧q))((q→s)∨()((p∧q))t)
122,((r→q)((s→t)∧p))⊢(((s→t)∧p)∧(s→t)),(r→q)((s→t)∧p)(t→t)(((s→t(∧p)∧(s→t))
123,((q∧p)s)⊢p,(q∧p)s((q∧p)∧s)p
124,((t→s)t)⊢(p∨t),(t→s)t((t→s)∧t)(p∨t)
125,((q∨p)(¬r))⊢(((q∨p)∨t)∨t),(q∨p)(¬r)((q∨p)∨t)(((q∨p)∨t)∨t)
126,((t∨s)p)⊢(p∨t),(t∨s)p((t∨s)∧p)(p∨t)
127,(r(t→(p→t)))⊢((t→(p→t))∨p),r(t→(p→t))(r∨(t→(t→t)))((t→(p→t))∨p)
128,((p∨r)p)⊢((p∨r)→((p∨r)∨r)),(p∨r)p((p∨r)∨r)((p∨r)→((p∨r)∨r))
129,(r((¬t)→p))⊢(r∨(q∨r)),r((¬t)→p)(q∨r)(r∨(q∨r))
130,((s∧(¬q))t)⊢(p∨t),(s∧(¬q))t((p∨t)
131,(r(s∨(t∨r)))⊢(r∨(s∨(t∨r))),r(s∨(t∨r))(r∨(s∨(t∨r)))(r∨(s∨(t∨r)))
132,((q∨p)(¬p))⊢((q∨p)∨r),(q∨p)(¬p)((q∨p)∨))((q∨p)∨r)
133,(p(t→t))⊢(p∨t),p(t→t)(p∨(t→t))(p∨t)
134,(((s∧p)∧q)p)⊢(r∨(s∧p)),((s∧p)∧q)p(s∧p)(r∨(s∧p))
135,((r∧s)(p∧(p→p)))⊢((p→p)∨t),(r∧s)(p∧(p→p))((→p)((p→p)∨t)
136,((¬q)((p→q)∧r))⊢((¬q)∧(r∨(¬q))),(¬q)((p→q)∧r)(r∨(¬q))((¬q)∧(r∨(¬q)))
137,((s∧s)((t∧p)→s))⊢((s∧s)∨r),(s∧s)((t∧p)→s)((s∧s)∨r)(
138,(q((q∧r)→s))⊢(r∨((q∧r)→s)),q((q∧r)→s)(q∨((q∧r)→s))(r∨((q∧r)→s))
139,((p∨(q→s))(r→(r∨p)))⊢(p∨(q→s)),(p∨(q→s))(r→(r∨p))((p∨(q→s))∧(r→(r∨p)))(p∨(q→s))
140,((s∨q)(r∨(t∧q)))⊢(r∨(s∨q)),(s∨q)(r∨(t∧q))((∨∨q)q))(r∨(s∨q))
141,((t∨r)p)⊢(s∨((t∨r)∨q)),(t∨r)p((t∨r)∨q)(s∨((t∨r)∨q))
142,(q(¬t))⊢((¬t)∨r),q(¬t)((¬t)tr)((¬t)∨r)
143,(p((¬t)∧r))⊢(p∧((¬t)∧r)),p((¬t)∧r)(p∧((¬t)∧r))
144,(q(r∧(q∨t)))⊢(t∨q),q(r∧(q∨t))((∨∨))
145,((q∨(s∧p))(t∨(p→s)))⊢((t∨(p→s))∨r),(q∨(s∧p))(t∨(p→s))((q∨(p∧s))∨))((t∨(p→s))∨r)
146,((r→t)(p∧r))⊢((r→t)∧(p∧r)),(r→t)(p∧r)((r→t)∧(p∧r))
147,(p(s∧q))⊢(r∨s),p(s∧q)s(r∨s)
148,((s→(q∨r))t)⊢((s→(q∨r))∨s),(s→(q∨r))t((s→(q∨r))∨t)((s→(q∨r))∨s)
149,(((r∨p)∨t)s)⊢(((r∨p)∨t)→s),((r∨p)∨t)s(((r∨p)∨t)→s)
150,((s∧p)s)⊢(s∨t),(s∧p)s((s∨t)
151,(t(q∧q))⊢q,t(q∧q)(t∧(q∧q))q
152,(s(s∧(r∨p)))⊢(p∨(s∧(r∨p))),s(s∧(r∨p))(s∨(s∧(r∨p)))(p∨(s∧(r∨p)))
153,(q(r∨(r∧t)))⊢(t∨q),q(r∨(r∧t))(q∨(r∨(r∧t)))(t∨q)
154,((t∧r)t)⊢(t∧t),(t∧r)tt(t∧t)
155,((s∧s)q)⊢(p∨q),(s∧s)qs(p∨q)
156,(p(q→s))⊢(p∧(p∧(q→s))),p(q→s)(p∧(q→s))(p∧(p∧(q→s)))
157,(((r∨p)∨t)s)⊢(q∨((r∨p)∨t)),((r∨p)∨t)s(((r∨p)∨t)∧))(q∨((r∨p)∨t))
158,(p(r→p))⊢((p∨s)∨s),p(r→p)(p∨s)((p∨s)∨s)
159,((r→r)(t∧s))⊢((r→r)→t),(r→r)(t∧s)t((r→r)→t)
160,((s→t)r)⊢r,(s→t)r((s→t)∧r)r
161,((r∧(r∧t))r)⊢((r∧(r∧t))∧r),(r∧(r∧t))rr((r∧(r∧t))∧r)
162,(r(r∧(p∧p)))⊢(s∨(r∨t)),r(r∧(p∧p))(r∨t)(s∨(r∨t))
163,(((q∧t)∧q)(p→(t∨s)))⊢(t∨(p→(t∨s))),((q∧t)∧q)(p→(t∨s))((((∧t(tqs∨))(t∨(p→(t∨s)))
164,((r∧s)q)⊢(q→(s∨q)),(r∧s)q(s∨q)(q→(s∨q))
165,(t((s∧p)∧t))⊢((t∨r)∨s),t((s∧p)∧t)(t∨r)((t∨r)∨s)
166,((p∨(p→t))(p∨q))⊢((p∨q)∨q),(p∨(p→t))(p∨q)((p∨qp→t))(pp∨q)))p
167,(((t∧s)→q)s)⊢(p∨s),((t∧s)→q)s(((t∧s)→q)∧s)(p∨s)
168,(t(q∧p))⊢(t∨(q∧p)),t(q∧p)(t∨(q∧p))(t∨(q∧p))
169,(q(t∨q))⊢(q∨s),q(t∨q)(q∧(t∨q))(q∨s)
170,(r(p∧(r∨s)))⊢(r∨p),r(p∧(r∨s))(rr∨p)
171,((¬r)(t∨t))⊢((t∨t)∨q),(¬r)(t∨t)((trt∨∨))((ttt)∨))
172,(p(q∧p))⊢((q∧p)∧p),p(q∧p)p((q∧p)∧p)
173,(r((p∨s)→r))⊢(((p∨s)→r)∧(((p∨s)→r)∨t)),r((p∨s)→r)(((p∨s)→r)∨t)(((p∨s)→r)∧(((p∨s)→r)∨t))
174,(t(p∧t))⊢(t∧p),t(p∧t)p(t∧p)
175,(s(s∨r))⊢((s∨r)∧((s∨r)∨t)),s(s∨r)((s∨r)∨t)((s∨r)∧((s∨r)∨t))
176,(p((p∧s)∧q))⊢(q∨p),p((p∧s)∧q)((∨∨)(
177,((p→(r∨s))p)⊢(p∧(p∨p)),(p→(r∨s))p(p∨p)(p∧(p∨p))
178,((s∧s)s)⊢((s∨s)∨p),(s∧s)s(s∨s)((s∨s)∨p)
179,(((p∨r)∧t)q)⊢(p∨((p∨r)∧t)),((p∨r)∧t)q(((p∨r)∧t)∧q)(p∨((p∨r)∧t))
180,(s(r∧s))⊢(((r∧s)∨p)∨t),s(r∧s)((r∧s)∨p)(((r∧s)∨p)∨t)
181,((s→(¬p))s)⊢((s→(¬p))∧s),(s→(¬p))s((s→(¬p))∧s)
182,((r∧t)q)⊢q,(r∧t)q((r∧t)∧q)q
183,((p∧p)q)⊢q,(p∧p)q((p∧p)∧q)q
184,(s(p→q))⊢((p∨s)∨p),s(p→q)(p∨s)((p∨s)∨p)
185,((p→s)(r∧p))⊢p,(p→s)(r∧p)p
186,((¬p)((q∨q)∨t))⊢((¬p)→(q∨(¬p))),(¬p)((q∨q)∨t)(q∨(¬p))((¬p)→(q∨(¬p)))
187,(r(p∧(r∨s)))⊢(p∨p),r(p∧(r∨s))p(p∨p)
188,(s((r→t)∨p))⊢(q∨((r→t)∨p)),s((r→t)∨p)(s∨((r→t)∨p))(q∨((r→t)∨p))
189,(p(p∧(t∧t)))⊢(p∧p),p(p∧(t∧t))p(p∧p)
190,((p∧q)q)⊢(q∧(q∨r)),(p∧q)q(q∨r)(q∧(q∨r))
191,(sr)⊢(r∨s),sr(r∨s)
192,((s∧(¬p))r)⊢((s∧(¬p))→r),(s∧(¬p))rs((s∧(¬p))→r)
193,((s→p)p)⊢((s→p)∨t),(s→p)p((s→p)→p)((s→p)∨t)
194,((r∧p)r)⊢(r∧p),(r∧p)rp(r∧p)
195,((t∧s)(¬p))⊢((¬p)→((¬p)∨r)),(t∧s)(¬p)((¬p)∨r)((¬p)→((¬p)∨r))
196,(((r∨s)∨s)(s∧p))⊢(r∨((r∨s)∨s)),((r∨s)∨s)(s∧p)((s∨s)∨s)(r∨((r∨s)∨s))
197,((p∨s)(s∨(t→r)))⊢(p∨s),(p∨s)(s∨(t→r))((p∨s)∧(s∨(t→r)))(p∨s)
198,((r∨s)(p∧t))⊢((r∨s)∨p),(r∨s)(p∧t)((r∨s)∨p)((r∨s)∨p)
199,(((r→t)∧r)s)⊢(r→t),((r→t)∧r)sr(r→t)
200,(p(r∧(t∧q)))⊢(p∨p),p(r∧(t∧q))((∨∨))
201,((r∧(s∨s))((p∧r)∧q))⊢(p∨q),(r∧(s∨s))((p∧r)∧q)q(p∨q)
202,(t(s∨s))⊢(t→(p∨t)),t(s∨s)(t∨t)(t→(p∨t))
203,((s∧q)r)⊢(s∨s),(s∧q)r((s∨s)
204,(r(t∨p))⊢(t∨r),r(t∨p)(r∨(t∨p))(t∨r)
205,((q∨p)r)⊢(p∨r),(q∨p)r((q∨p)∧r)(p∨r)
206,((p∧t)t)⊢(t→((p∧t)∧t)),(p∧t)t((p∧t)∧t)(t→((p∧t)∧t))
207,((q→(¬s))(p∧t))⊢p,(q→(¬s))(p∧t)pp
208,((s→r)(q∧q))⊢(r∨(s→r)),(s→r)(q∧q)((∨(r)r))(r∨(s→r))
209,((p∨(p→q))s)⊢s,(p∨(p→q))s((p∨(p→q))∧s)s
210,((s∨r)r)⊢((s∨r)∧r),(s∨r)r((s∨r)∧r)
211,((t∧t)p)⊢((t∧t)∨s),(t∧t)p((t∧t)∧p)((t∧t)∨s)
212,(q((¬t)∧p))⊢((q∨t)∨r),q((¬t)∧p)(q∨t)((q∨t)∨r)
213,((p∨r)(t∨p))⊢((p∨r)∧(r∨(p∨r))),(p∨r)(t∨p)(r∨(p∨r))((p∨r)∧(r∨(p∨r)))
214,(s((q→t)∧q))⊢(s→(s∨t)),s((q→t)∧q)(s∨t)(s→(s∨t))
215,((s∧p)q)⊢(s∨(s∧p)),(s∧p)q((s∧p)∧q)(s∨(s∧p))
216,(((p∨s)∨q)s)⊢((s∨s)∨s),((p∨s)∨q)s(s∨s)((s∨s)∨s)
217,(r((s∧q)∧t))⊢(t∨s),r((s∧q)∧t)((∨q))
218,((q∧q)s)⊢((q∧q)→q),(q∧q)sq((q∧q)→q)
219,((q∧s)(t∨(s→t)))⊢(r∨(q∧s)),(q∧s)(t∨(s→t))((r(s∧ss)))
220,((r→(r∧p))(t∨(p→s)))⊢(s∨(t∨(p→s))),(r→(r∧p))(t∨(p→s))((∨((∨(p))∨))(s∨(t∨(p→s)))
221,(p((q→t)∧q))⊢(t∨p),p((q→t)∧q)((∨∨)(
222,(((q∨r)∨s)q)⊢(r∨(q∨q)),((q∨r)∨s)q(q∨q)(r∨(q∨q))
223,(r(q→(r∨q)))⊢(r∨t),r(q→(r∨q))(r∨(q→(r∨q)))(r∨t)
224,((s∨s)(¬t))⊢((¬t)→((s∨s)∧(¬t))),(s∨s)(¬t)((s∨s)∧(¬t))((¬t)→((s∨s)∧(¬t)))
225,(t((¬t)∧r))⊢(t∧((¬t)∧r)),t((¬t)∧r)(t∧((¬t)∧r))
226,((r→(r→s))((¬r)→s))⊢(((¬r)→s)∧((r→(r→s))∧((¬r)→s))),(r→(r→s))((¬r)→s)((r→(r→s))→((¬r)→s))(((¬r)→s)∧((r→→)→s))∧(→¬rr→s)))
227,(t(r∧t))⊢((t→(r∧t))∨t),t(r∧t)(t→(r∧t))((t→(r∧t))∨t)
228,((t∧(r→q))p)⊢(p→(p∨p)),(t∧(r→q))p(p∨p)(p→(p∨p))
229,(q((s∧p)∧q))⊢(s∨(q∨q)),q((s∧p)∧q)(q∨q)(s∨(q∨q))
230,(s(r∧s))⊢((r∧s)∧((r∧s)∨p)),s(r∧s)((r∧s)∨p)((r∧s)∧((r∧s)∨p))
231,(p(p→q))⊢(r∨(p→q)),p(p→q)(p∨(p→q))(r∨(p→q))
232,((s∧p)(s∨s))⊢((s∧p)∧(s∨(s∧p))),(s∧p)(s∨s)(s∨(s∧p))((s∧p)∧(s∨(s∧p)))
233,(r(s→(¬r)))⊢(r∨(r∨t)),r(s→(¬r))(r∨t)(r∨(r∨t))
234,(((q→q)∧q)(r∧p))⊢(r∨((q→q)∧q)),((q→q)∧q)(r∧p)((r(((qq)(∧∨)()∧))
235,(s(r→(t∧p)))⊢(s→(s∧(r→(t∧p)))),s(r→(t∧p))(s∧(r→(t∧p)))(s→(s∧(r→(t∧p))))
236,((¬p)(t→s))⊢((t→s)∨q),(¬p)(t→s)((t→s)∨))((→→s)∨))
237,(s((r→t)∨p))⊢(s∧(s∨t)),s((r→t)∨p)(s∨t)(s∧(s∨t))
238,((p→(s∨s))((q→s)∨r))⊢(t∨(p→(s∨s))),(p→(s∨s))((q→s)∨r)((p((s∨s∨s∨))(t∨(p→(s∨s)))
239,(((s∧s)∧p)(¬q))⊢((¬q)∨p),((s∧s)∧p)(¬q)(((s)∨p)()
240,((p→t)t)⊢(t∧(q∨t)),(p→t)t(q∨t)(t∧(q∨t))
241,(q((q→r)→t))⊢(q→(p∨q)),q((q→r)→t)(p∨q)(q→(p∨q))
242,((s→t)(r∧s))⊢((r∧s)∨r),(s→t)(r∧s)((r→s)∨r)((r∧s)∨r)
243,(t(q∧(r∧t)))⊢(r∧t),t(q∧(r∧t))q(r∧t)
244,((s∨(r→r))s)⊢(t∨(s∨(r→r))),(s∨(r→r))s((s∨(r→r))∨s)(t∨(s∨(r→r)))
245,((s→r)(¬r))⊢(r∨(¬r)),(s→r)(¬r)((s(rrr)(rr((rr))
246,(r(r→(q∧p)))⊢(r∧(r→(q∧p))),r(r→(q∧p))(r∧(r→(q∧p)))
247,(r((¬r)∨s))⊢(((¬r)∨s)→(((¬r)∨s)∨r)),r((¬r)∨s)((((r)∨s)∨r)(((¬r)∨s)→(((¬r)∨s)∨r))
248,((¬r)(t→q))⊢(¬r),(¬r)(t→q)((¬r)∧(t→q))(¬r)
249,(r(q∨(r∧p)))⊢(q∨(r∧p)),r(q∨(r∧p))(r∧(q∨(r∧p)))(q∨(r∧p))
250,(t((s→q)∨r))⊢(t→(t∨s)),t((s→q)∨r)(t∨s)(t→(t∨s))
251,((q→q)s)⊢((r∨s)∨s),(q→q)s(r∨s)((r∨s)∨s)
252,((t∨s)((s∨r)→r))⊢((t∨s)→((s∨r)→r)),(t∨s)((s∨r)→r)((t∨s)→((s∨r)→r))∨
253,(p(p∧(¬t)))⊢((p∧(¬t))→p),p(p∧(¬t))p((p∧(¬t))→p)
254,(q(t∧(¬s)))⊢t,q(t∧(¬s))(q∧(t∧(¬s)))t
255,((¬r)(r∧s))⊢(r∨q),(¬r)(r∧s)q(r∨q)
256,((t∨(p→r))q)⊢(q∨q),(t∨(p→r))q((t∨(p→r))∧q)(q∨q)
